entropia,entropiaR,entropiaG,entropiaB,rango_dinamico,rango_dinamicoR,rango_dinamicoG,rango_dinamicoB,std_intensidad,var_intensidad,var_intensidadR,var_intensidadG,var_intensidadB,CDR,DDLS,dist1,dist2,dist3,dist4,radioC,radioD,centro1,centro2,NRR_area_ratio,media,media_r,media_g,media_b,nitidez_borde,nitidez_bordeR,nitidez_bordeG,nitidez_bordeB,imagen,glaucoma
6.3265123247195,3.551929982432,6.23285882877139,4.63430306780937,196,255,196,51,28.019518078548,785.093393354081,1840.03473196662,769.378976328113,52.0287903334823,1.81284916201117,0.448382126348228,-308.890098545029,-17.8900985450292,-106.740713564344,184.259286435656,324.5,179,-163.390098545029,38.7592864356561,1,128.15190592344,242.354030158308,116.878545762484,25.2231418495292,6882324,6478026,5515238,5990042,image_0001.jpg,0
6.86772745124727,5.78942431919044,6.07566698472714,3.99087562760511,174,255,157,56,17.786240335082,316.350345257298,745.79958823367,316.549516303007,16.4145742205091,1.36630036630037,0.268096514745308,-44.9940771861405,55.0059228138595,-46.6217759882319,53.3782240117681,186.5,136.5,5.00592281385946,3.37822401176811,1,119.166109356195,227.145012502075,93.555881144586,36.7974344219253,7090456,7519817,5563385,5882943,image_0002.jpg,0
7.54853651571347,6.68072391000561,6.66451987312233,5.52477795991199,226,255,228,147,31.8967318256373,1017.40150115662,1888.63392320849,985.217828803932,227.535000731437,2.38260869565217,0.58029197080292,-254.627732963367,63.3722670366326,-200.631856093418,117.368143906582,274,115,-95.6277329633674,-41.6318560934177,1,117.837590931393,201.977090186348,101.593737671376,49.9419449364557,9695767,8811922,7108453,7504283,image_0003.jpg,0
6.71204396615157,5.91893900598055,5.18449903155102,4.29045978340773,79,108,91,38,9.75002095297489,95.0629085834494,306.784183931942,98.0967622363493,23.9109542461188,2.07692307692308,0.518518518518518,-31.1594198117728,178.840580188227,-123.115540599414,86.8844594005858,202.5,97.5,73.8405801882272,-18.1155405994142,1,106.761021878264,188.784466710934,100.176156355068,31.3224425687914,8440982,8036578,6480156,6859490,image_0004.jpg,0
6.20532524213983,3.43828706263544,6.17211190029463,4.26920732178614,204,255,207,56,14.4090995276529,207.622149197808,142.692849848144,469.797909262656,24.0497541914565,2.62844036697248,0.619546247818499,-162.311514292501,192.688485707499,-177.315049041096,177.684950958904,286.5,109,15.1884857074991,0.184950958903869,1,127.208854021889,250.0580364273,102.673724266313,28.8948013720555,7214721,7431463,5890269,6350561,image_0007.jpg,0
7.38279269195236,6.48509269532403,6.31181570310262,5.54457992785182,171,140,192,197,27.3986217868698,750.684475819934,840.795428408401,872.917466510869,561.864691413348,2.07909604519774,0.519021739130435,-121.446059238249,69.5539407617512,-85.6563481414474,105.343651858553,184,88.5,-25.9460592382488,9.84365185855256,1,119.945661233393,193.964503033908,117.144770969661,48.7277096966092,9573621,8451787,7387456,7070136,image_0008.jpg,0
7.61661465035319,6.54544301355526,6.56292111042915,6.08270714415679,160,126,182,180,24.9248300492069,621.247152981847,770.102897652759,715.974953715321,422.128505865786,2.3859649122807,0.580882352941177,-76.4837408346177,160.516259165382,-106.359761139602,130.640238860398,204,85.5,42.0162591653823,12.1402388603977,1,142.145895379734,215.521452468769,135.991099583581,74.9251340868531,11775928,10278945,9084669,8755228,image_0009.jpg,0
7.3112410658047,6.36894033928244,6.53258180239156,5.76078006513726,227,255,225,165,40.7948053919286,1664.21614696533,3163.00573041296,1470.52243656055,605.667550483032,3.53714285714286,0.717285945072698,-184.930205460394,259.069794539606,-242.292107761759,201.707892238241,309.5,87.5,37.0697945396057,-20.2921077617593,1,132.875275876187,207.950496387357,115.33530172669,75.3400295145136,7497434,7121526,5652018,6020376,image_0010.jpg,1
7.57902203282999,6.13769259828188,6.66801754156461,6.28796943546938,170,108,204,196,29.6989181221752,882.025737627665,562.383884111502,1178.14316670749,901.394375257423,1.82775119617225,0.452879581151832,-99.55106146741,73.44893853259,-99.2056054685644,73.7943945314356,191,104.5,-13.05106146741,-12.7056054685644,1,127.431284552846,204.747774895895,118.681761808447,58.8643169541939,8298745,7810853,6424289,6200246,image_0011.jpg,0
7.39549060338973,6.17039028650725,6.82212653571031,5.29941095143114,148,125,173,99,28.4155711552875,807.444684081208,1056.85499773759,1023.97484827085,164.242826041041,1.79133858267717,0.441758241758242,-110.965662953043,90.0343370469574,-103.654180066267,97.3458199337331,227.5,127,-10.4656629530426,-3.15418006626692,1,121.266743574605,217.05206862401,100.81466048501,45.9335016147946,10366719,9580734,7702488,8082305,image_0012.jpg,0
